NAME;BARCODE;TAXGROUP;NAME1;NAME2
"(не використовувати)Ковб.""Салямі Золотиста"" в/г с/к /Ков. ко";210011400000;Б;Архів;ТМ
"(не використовувати)Ковб.""Салямі Мисливська"" п/к в/г ваг. /С";210073800000;Б;Архів;ТМ
"(не використовувати)Ковб.""Тірольська"" ваг./Гермес/";210089200000;Б;Архів;ТМ
"(не використовувати)Ковб.""Тернопільська"" в/г с/к ваг./Доброс";210010500000;Б;Архів;ТМ
"(не використовувати)Ковб.""Фірмова"" в/г н/к /Ков. ковб./";210004400000;Б;Архів;ТМ
"(не використовувати)Ковб.""Шинкова ""ваг. /Гермес/";210076600000;Б;Архів;ТМ
(не використовувати)Ковбаски мисливські \Торч. ковб.\;;Б;Архів;ТМ
(не використовувати)Короп голова ваг;;Б;Архів;ТМ
(не використовувати)Крилця курячі копчені в/у ваг. /Рос/;210091700000;Б;Архів;ТМ
(не використовувати)Маргарин ваг./Пекц/;;Б;Архів;ТМ Гранд
(не використовувати)Молочна в векторі ваг /Торч.ковб/;;Б;Архів;ТМ
(не використовувати)Морозиво Кіт Муркіт 65г /Львів/;;Б;Архів;ТМ
"(не використовувати)Напій ""Біола"" Квейк 2л";4820010890479;Б;Архів;ТМ Біола,Премєра
"(не використовувати)Напій ""Капучіно Якобс"" шокол 12,5* 10/Кр";4823001414104;Б;02.Кава;ТМ Якобс
(не використовувати)Окіст Рогатинський в/у ваг /рос/;210091800000;Б;Архів;ТМ
(не використовувати)Пакет п/е ЛД д/сміття 90*120-10шт 160л ч;;Б;Архів;ТМ
(не використовувати)Печиво Горішок 3кг;210087100000;Б;03.Печиво,вафлі фасовані;ТМ Львівські солодощі
(не використовувати)Приправа для курчат 25кг;210060200000;Б;Архів;ТМ
"(не використовувати)Рис ""Камоліно"" круглий 1кг /Жменька/";;Б;Архів;ТМ
(не використовувати)Родзинка /ваг/;;Б;Архів;ТМ
(не використовувати)Салямі  варена \Торч. ковб.\;;Б;Архів;ТМ
(не використовувати)Салямі Гетьманська \Торч. ковб.\;;Б;Архів;ТМ
(не використовувати)Сардіна проста нат з д/м 250г;4820057301839;Б;Архів;ТМ
"(не використовувати)Сардельки ""Делікатесні"" 1г. в атм газу м";210079000000;Б;Архів;ТМ
"(не використовувати)Сардельки ""Пікантні""1с т/у";210113100000;Б;Архів;ТМ Ятрань
(не використовувати)Свинина відварна у в/соку 370г;4823005701705;Б;Архів;ТМ
(не використовувати)Сервалет Єропейський в/к /ЗЕВС/;;Б;Архів;ТМ Зевс
"(не використовувати)Серветка ""Hіжний дотик"" жовта 24*25 40шт";;Б;01.Паперова продукція;ТМ Ніжний дотик
"(не використовувати)Серветка ""Hіжний дотик"" зелена 24*25 40ш";;Б;01.Паперова продукція;ТМ Ніжний дотик
"(не використовувати)Серветка ""Hіжний дотик"" рожева 24*25 40ш";;Б;01.Паперова продукція;ТМ Марс
"(не використовувати)Сир ""Голандський"" тв. брусок ваг./Комо/";;Б;Архів;ТМ
"(не використовувати)Сир ""Мааздам"" 45% ваг./Комо/";;Б;Архів;ТМ
"(не використовувати)Сосиска ""Ароматна"" 1г в/у /Агротем/";210130600000;Б;Архів;ТМ Агротем
"(не використовувати)Сосиски ""Віденські"" 20% /Сатурн/";210123400000;Б;Архів;ТМ Роман
(не використовувати)Сосиски Віденські в/г ваг. /М’ясовіта/;210022000000;Б;Архів;ТМ
(не використовувати)Стегна курячі в/к т/у /Торч.ковб/;210079300000;Б;Архів;ТМ
(не використовувати)Торт-тісто;;Б;Архів;ТМ
(не використовувати)Тунець в/о шматочками  185Г/24шт /AКВА/;;Б;Архів;ТМ
"(не використовувати)Хліб ""Особливий"" 0,800кг /Юдіна/";;Б;Архів;ТМ
(не використовувати)Хліб 2/c 0,6 /Юдіна/;;Б;Архів;ТМ
